method,orbital_period,mass,distance,year,era
radial velocity,269.3,7.1,77.4,2006,2000-2010
radial velocity,874.774,2.21,56.95,2008,2000-2010
radial velocity,763.0,2.6,19.84,2011,Post-2010
radial velocity,326.03,19.4,110.62,2007,2000-2010
radial velocity,516.22,10.5,119.47,2009,2000-2010
radial velocity,185.84,4.8,76.39,2008,2000-2010
radial velocity,1773.4,4.64,18.15,2002,2000-2010
radial velocity,798.5,1.26,21.41,1996,Pre-2000
radial velocity,993.3,10.3,73.1,2008,2000-2010
radial velocity,452.8,1.99,74.79,2010,Post-2010
radial velocity,883.0,0.86,74.79,2010,Post-2010
radial velocity,335.1,9.88,39.43,2009,2000-2010
radial velocity,479.1,3.88,97.28,2008,2000-2010
radial velocity,1078.0,2.53,14.08,1996,Pre-2000
radial velocity,2391.0,0.54,14.08,2001,2000-2010
radial velocity,14002.0,1.64,14.08,2009,2000-2010
radial velocity,4.230785,0.472,15.36,1995,Pre-2000
radial velocity,14.651,0.8,12.53,1996,Pre-2000
radial velocity,44.38,0.165,12.53,2004,2000-2010
radial velocity,4909.0,3.53,12.53,2002,2000-2010
radial velocity,0.73654,1.26,12.53,2011,Post-2010
radial velocity,261.2,0.172,12.53,2007,2000-2010
radial velocity,4.215,0.016,8.52,2009,2000-2010
radial velocity,38.021,0.057,8.52,2009,2000-2010
radial velocity,123.01,0.072,8.52,2009,2000-2010
radial velocity,116.6884,1.26,18.11,1996,Pre-2000
radial velocity,691.9,1.26,81.5,2012,Post-2010
radial velocity,952.7,5.3,97.18,2008,2000-2010
radial velocity,181.4,3.2,45.52,2013,Post-2010
eclipse timing variations,10220.0,6.05,55.25,2009,2000-2010
eclipse timing variations,5767.0,1.26,130.72,2008,2000-2010
eclipse timing variations,3321.0,1.26,130.72,2008,2000-2010
eclipse timing variations,5573.55,1.26,500.0,2010,Post-2010
eclipse timing variations,2883.5,1.26,500.0,2010,Post-2010
eclipse timing variations,2900.0,1.26,55.25,2011,Post-2010
eclipse timing variations,4343.5,4.2,55.25,2012,Post-2010
eclipse timing variations,5840.0,1.26,55.25,2011,Post-2010
eclipse timing variations,1916.25,1.26,55.25,2011,Post-2010
radial velocity,380.8,1.8,20.21,2010,Post-2010
radial velocity,3.2357,0.0036,1.35,2012,Post-2010
imaging,6000.0,1.26,19.28,2008,2000-2010
radial velocity,2502.0,1.55,3.22,2000,2000-2010
radial velocity,417.9,1.26,70.42,2012,Post-2010
radial velocity,594.9,7.6,47.53,2006,2000-2010
radial velocity,428.5,8.78,38.52,2009,2000-2010
radial velocity,903.3,1.85,13.79,2003,2000-2010
radial velocity,1251.0,1.26,31.12,2007,2000-2010
radial velocity,136.75,2.8,62.66,2007,2000-2010
radial velocity,530.32,1.26,46.84,2012,Post-2010
radial velocity,3186.0,1.26,46.84,2012,Post-2010
radial velocity,277.02,1.7,80.64,2013,Post-2010
radial velocity,187.83,1.26,84.03,2012,Post-2010
radial velocity,1630.0,1.26,56.31,2012,Post-2010
radial velocity,39.845,1.04,17.43,1997,Pre-2000
radial velocity,3.3135,3.9,15.6,1996,Pre-2000
radial velocity,305.5,20.6,92.51,2013,Post-2010
radial velocity,4.617033,0.6876,13.47,1996,Pre-2000
radial velocity,241.258,1.981,13.47,1999,Pre-2000
radial velocity,1276.46,4.132,13.47,1999,Pre-2000
radial velocity,3848.86,1.059,13.47,2010,Post-2010
imaging,318280.0,1.26,7.69,2008,2000-2010
imaging,4639.15,1.26,12.21,2009,2000-2010
imaging,7336.5,1.26,25.0,2009,2000-2010
imaging,8679.7,1.26,26.67,2009,2000-2010
radial velocity,655.6,5.1,37.54,2008,2000-2010
radial velocity,714.3,10.6,55.25,2007,2000-2010
radial velocity,3.48777,1.26,80.0,2000,2000-2010
radial velocity,5.6,0.045,42.09,2009,2000-2010
radial velocity,237.6,0.33,42.09,2009,2000-2010
radial velocity,3.8728,0.027,20.1,2013,Post-2010
radial velocity,125.94,0.17,20.1,2013,Post-2010
radial velocity,268.94,1.47,50.03,2009,2000-2010
radial velocity,137.48,1.11,175.44,2013,Post-2010
radial velocity,379.63,21.42,55.25,2009,2000-2010
radial velocity,621.99,12.47,55.25,2009,2000-2010
radial velocity,578.2,1.26,55.25,2012,Post-2010
radial velocity,392.6,0.91,55.25,2011,Post-2010
imaging,10037.5,1.26,23.1,2011,Post-2010
transit,1.5089557,1.26,55.25,2008,2000-2010
transit,1.7429935,1.26,200.0,2008,2000-2010
transit,4.2568,1.26,680.0,2008,2000-2010
transit,9.20205,1.26,55.25,2008,2000-2010
transit,4.0378962,1.26,55.25,2009,2000-2010
transit,8.886593,1.26,55.25,2009,2000-2010
transit,0.853585,1.26,150.0,2009,2000-2010
radial velocity,3.698,1.26,150.0,2009,2000-2010
transit,6.21229,1.26,380.0,2010,Post-2010
transit,95.2738,1.26,460.0,2009,2000-2010
transit,13.2406,1.26,345.0,2010,Post-2010
transit,2.99433,1.26,560.0,2010,Post-2010
transit,2.828042,1.26,1150.0,2010,Post-2010
transit,4.03519,1.26,1060.0,2010,Post-2010
transit,1.51214,1.26,1340.0,2010,Post-2010
transit,5.35227,1.26,840.0,2011,Post-2010
transit,3.7681,1.26,920.0,2011,Post-2010
transit,1.9000693,1.26,870.0,2011,Post-2010
transit,3.89713,1.26,770.0,2011,Post-2010
transit,9.24285,1.26,1230.0,2011,Post-2010
transit,3.6313,1.26,600.0,2011,Post-2010
transit,3.57532,1.26,55.25,2014,Post-2010
astrometry,246.36,1.26,20.77,2013,Post-2010
radial velocity,15.76491,3.91,10.91,1999,Pre-2000
radial velocity,8.631,0.035,14.97,2013,Post-2010
radial velocity,25.6,0.024,14.97,2013,Post-2010
radial velocity,603.0,0.079,14.97,2013,Post-2010
radial velocity,2288.0,0.82,12.12,2009,2000-2010
radial velocity,692.0,1.894,15.1,2007,2000-2010
radial velocity,7100.0,1.6,15.1,2011,Post-2010
radial velocity,4100.0,2.3,20.03,2013,Post-2010
radial velocity,7.3709,0.018,9.04,2011,Post-2010
radial velocity,2.64385,1.26,10.23,2004,2000-2010
radial velocity,5.36874,0.049,6.27,2005,2000-2010
radial velocity,12.9292,0.017,6.27,2005,2000-2010
radial velocity,66.8,0.022,6.27,2005,2000-2010
radial velocity,3.14942,0.006,6.27,2005,2000-2010
radial velocity,598.3,0.328,10.32,2009,2000-2010
radial velocity,7.2004,0.018,6.8,2011,Post-2010
radial velocity,28.14,0.012,6.8,2011,Post-2010
radial velocity,91.61,0.016,6.8,2013,Post-2010
radial velocity,62.24,0.008,6.8,2013,Post-2010
radial velocity,39.026,0.008,6.8,2013,Post-2010
radial velocity,256.2,0.014,6.8,2013,Post-2010
radial velocity,4.6938,0.035,4.54,2007,2000-2010
radial velocity,1050.3,4.95,16.13,2010,Post-2010
radial velocity,3.6,0.014,16.13,2012,Post-2010
radial velocity,35.37,0.036,16.13,2012,Post-2010
radial velocity,3416.0,0.64,4.94,2008,2000-2010
radial velocity,1845.0,0.91,8.77,2006,2000-2010
radial velocity,61.1166,2.2756,4.7,1998,Pre-2000
radial velocity,30.0881,0.7142,4.7,2000,2000-2010
radial velocity,1.93778,0.021,4.7,2005,2000-2010
radial velocity,124.26,0.046,4.7,2010,Post-2010
transit,1.58040482,1.26,55.25,2009,2000-2010
radial velocity,133.71,3.37,17.62,2000,2000-2010
radial velocity,3.33714,1.26,25.2,2012,Post-2010
radial velocity,2.64561,0.022,19.8,2010,Post-2010
transit,4.4652934,1.26,139.0,2006,2000-2010
transit,5.6334729,1.26,135.32,2007,2000-2010
transit,2.899736,1.26,138.0,2007,2000-2010
transit,3.056536,1.26,314.0,2007,2000-2010
transit,2.788491,1.26,342.0,2007,2000-2010
transit,3.852985,1.26,261.0,2007,2000-2010
transit,3.0763776,1.26,230.0,2008,2000-2010
transit,3.92289,1.26,480.0,2008,2000-2010
transit,3.2130598,1.26,142.5,2009,2000-2010
transit,2.91626,1.26,214.0,2009,2000-2010
radial velocity,428.5,15.2,214.0,2009,2000-2010
transit,4.627669,1.26,205.0,2010,Post-2010
transit,10.863502,1.26,190.0,2010,Post-2010
transit,2.77596,1.26,235.0,2010,Post-2010
transit,10.338523,1.26,90.0,2010,Post-2010
radial velocity,5584.0,3.4,90.0,2010,Post-2010
transit,5.508023,1.26,166.0,2010,Post-2010
transit,4.008778,1.26,215.0,2010,Post-2010
transit,2.875317,1.26,70.0,2010,Post-2010
transit,4.124481,1.26,254.0,2010,Post-2010
transit,3.21222,1.26,82.0,2010,Post-2010
transit,1.212884,1.26,393.0,2010,Post-2010
transit,3.35524,1.26,396.0,2010,Post-2010
transit,3.652836,1.26,297.0,2010,Post-2010
transit,4.234516,1.26,134.0,2010,Post-2010
transit,3.039577,1.26,204.0,2011,Post-2010
transit,3.257215,1.26,395.0,2011,Post-2010
transit,5.723186,1.26,322.0,2011,Post-2010
transit,2.810595,1.26,193.0,2011,Post-2010
transit,5.005425,1.26,354.0,2011,Post-2010
radial velocity,1022.0,3.4,354.0,2011,Post-2010
transit,2.150008,1.26,283.0,2011,Post-2010
transit,3.474474,1.26,387.0,2011,Post-2010
transit,5.452654,1.26,257.0,2011,Post-2010
transit,3.646706,1.26,535.0,2011,Post-2010
transit,1.327347,1.26,317.0,2011,Post-2010
transit,2.797436,1.26,411.0,2011,Post-2010
transit,4.640382,1.26,249.0,2012,Post-2010
transit,3.54387,1.26,642.0,2012,Post-2010
transit,4.457243,1.26,501.0,2012,Post-2010
transit,2.694047,1.26,344.0,2012,Post-2010
transit,4.641878,1.26,447.0,2012,Post-2010
transit,3.332687,1.26,542.0,2012,Post-2010
transit,2.691548,1.26,322.0,2014,Post-2010
transit,3.446459,1.26,303.0,2012,Post-2010
transit,1.354133,1.26,360.0,2013,Post-2010
transit,3.547851,1.26,453.0,2013,Post-2010
radial velocity,349.7,1.25,25.64,2001,2000-2010
radial velocity,6005.0,5.3,25.64,2012,Post-2010
radial velocity,5.7727,0.024,23.44,2009,2000-2010
radial velocity,13.505,0.0186,23.44,2011,Post-2010
radial velocity,431.8,3.1,167.5,2011,Post-2010
radial velocity,533.0,6.1,7.01,2010,Post-2010
radial velocity,1183.0,4.9,89.85,2002,2000-2010
radial velocity,3.4442,0.48,53.71,2005,2000-2010
radial velocity,311.6,1.6,115.21,2013,Post-2010
radial velocity,62.218,0.229,11.11,2003,2000-2010
radial velocity,526.62,1.56,44.05,2007,2000-2010
radial velocity,829.0,0.8,32.7,2001,2000-2010
radial velocity,15.609,0.0405,21.85,2005,2000-2010
radial velocity,431.88,2.07,77.82,2001,2000-2010
radial velocity,356.0,2.3,131.41,2009,2000-2010
radial velocity,360.2,2.37,56.5,2012,Post-2010
radial velocity,2732.0,2.37,56.5,2012,Post-2010
radial velocity,675.0,1.94,100.0,2007,2000-2010
radial velocity,777.0,1.96,53.28,2009,2000-2010
radial velocity,792.6,1.26,58.17,2012,Post-2010
radial velocity,177.11,7.6,150.6,2011,Post-2010
radial velocity,22.09,0.48,40.32,2003,2000-2010
radial velocity,2496.0,1.65,55.01,2009,2000-2010
radial velocity,615.0,0.29,35.88,2011,Post-2010
radial velocity,1275.0,1.11,38.52,2011,Post-2010
radial velocity,4046.0,2.0,38.52,2011,Post-2010
radial velocity,5.3978,0.029,16.82,2008,2000-2010
radial velocity,1313.0,0.63,56.34,2010,Post-2010
radial velocity,227.0,1.8,44.15,2002,2000-2010
radial velocity,1634.0,14.2,38.26,2009,2000-2010
radial velocity,30.052,0.7,52.85,2009,2000-2010
radial velocity,192.9,1.82,52.85,2009,2000-2010
radial velocity,5.75962,0.041,39.39,2010,Post-2010
radial velocity,16.3567,0.038,39.39,2010,Post-2010
radial velocity,49.747,0.08,39.39,2010,Post-2010
radial velocity,122.72,0.074,39.39,2010,Post-2010
radial velocity,602.0,0.067,39.39,2010,Post-2010
radial velocity,2248.0,0.205,39.39,2010,Post-2010
radial velocity,989.2,0.94,17.35,2006,2000-2010
radial velocity,1075.2,6.21,32.56,1999,Pre-2000
radial velocity,1270.2,3.44,53.82,2007,2000-2010
radial velocity,170.455,0.82,53.82,2008,2000-2010
radial velocity,711.0,6.54,66.49,2005,2000-2010
radial velocity,1945.0,0.622,33.98,2005,2000-2010
radial velocity,37.91,0.0788,33.98,2008,2000-2010
radial velocity,262.709,2.3,37.16,2000,2000-2010
radial velocity,1708.0,1.92,37.16,2002,2000-2010
radial velocity,471.6,14.0,300.3,2005,2000-2010
radial velocity,14.182,0.0325,28.6,2011,Post-2010
radial velocity,53.832,0.036,28.6,2011,Post-2010
radial velocity,19.382,0.865,66.89,2013,Post-2010
radial velocity,931.0,5.13,66.89,2013,Post-2010
radial velocity,4218.0,1.88,45.52,2009,2000-2010
radial velocity,75.523,0.26,35.91,2000,2000-2010
radial velocity,17.24,0.0696,25.54,2008,2000-2010
radial velocity,990.0,4.4,59.84,2009,2000-2010
radial velocity,465.1,14.3,50.18,2009,2000-2010
radial velocity,359.9,4.6,55.25,2007,2000-2010
radial velocity,21.21663,1.26,78.25,2007,2000-2010
radial velocity,772.0,2.7,127.88,2011,Post-2010
radial velocity,466.2,1.37,22.38,2003,2000-2010
radial velocity,11.849,0.0378,43.08,2011,Post-2010
radial velocity,33.823,0.0422,43.08,2011,Post-2010
radial velocity,500.0,1.07,27.13,2002,2000-2010
radial velocity,18.315,0.0085,6.06,2011,Post-2010
radial velocity,40.114,0.00755,6.06,2011,Post-2010
radial velocity,90.309,0.0151,6.06,2011,Post-2010
radial velocity,29.15,0.0379,35.89,2011,Post-2010
radial velocity,85.131,0.0496,35.89,2011,Post-2010
radial velocity,591.9,1.9,36.02,2006,2000-2010
radial velocity,380.85,1.99,44.5,2008,2000-2010
radial velocity,22.656,0.0322,32.31,2011,Post-2010
radial velocity,53.881,0.06472,32.31,2011,Post-2010
radial velocity,1214.0,1.5,89.13,2006,2000-2010
radial velocity,738.459,2.61,34.6,2001,2000-2010
radial velocity,528.07,13.65,31.79,2011,Post-2010
radial velocity,1561.0,7.71,51.97,2003,2000-2010
radial velocity,3668.0,4.01,46.51,2006,2000-2010
radial velocity,1845.0,0.95,56.05,2010,Post-2010
radial velocity,423.841,1.28,18.24,2000,2000-2010
radial velocity,2208.0,1.45,44.54,2012,Post-2010
radial velocity,17.991,0.62,42.37,2005,2000-2010
radial velocity,1117.0,1.16,56.18,2010,Post-2010
radial velocity,385.9,5.59,39.56,2001,2000-2010
radial velocity,387.1,1.7,168.92,2011,Post-2010
radial velocity,2819.654,9.17,54.71,2002,2000-2010
radial velocity,1159.2,1.373,26.5,2009,2000-2010
radial velocity,912.0,1.8,121.07,2011,Post-2010
radial velocity,466.0,0.5,53.82,2010,Post-2010
radial velocity,16.546,0.0363,38.01,2011,Post-2010
radial velocity,51.284,0.0498,38.01,2011,Post-2010
radial velocity,274.49,0.0519,38.01,2011,Post-2010
radial velocity,326.6,1.3,136.8,2011,Post-2010
radial velocity,18.179,0.33,86.88,2006,2000-2010
radial velocity,157.54,3.04,117.37,2009,2000-2010
radial velocity,1049.0,0.79,45.01,2009,2000-2010
radial velocity,388.0,9.1,20.98,2005,2000-2010
radial velocity,363.2,1.26,37.78,2010,Post-2010
radial velocity,154.46,0.61,33.24,2002,2000-2010
radial velocity,2295.0,0.683,33.24,2002,2000-2010
radial velocity,843.6,0.624,33.24,2005,2000-2010
radial velocity,2063.818,10.35,18.21,2001,2000-2010
radial velocity,55.0,2.3,42.88,2004,2000-2010
radial velocity,2720.0,3.366,42.88,2012,Post-2010
radial velocity,5.6363,0.0117,25.59,2011,Post-2010
radial velocity,14.025,0.0187,25.59,2011,Post-2010
radial velocity,33.941,0.0162,25.59,2011,Post-2010
radial velocity,14.3098,0.839,42.43,2000,2000-2010
radial velocity,2140.2,13.38,42.43,2000,2000-2010
radial velocity,696.3,10.7,99.4,2009,2000-2010
radial velocity,407.15,0.0961,15.56,2011,Post-2010
radial velocity,4.3123,0.0126,12.83,2008,2000-2010
radial velocity,9.6184,0.0208,12.83,2008,2000-2010
radial velocity,20.432,0.0299,12.83,2008,2000-2010
radial velocity,34.62,0.011,12.83,2012,Post-2010
radial velocity,51.76,0.0164,12.83,2012,Post-2010
radial velocity,197.8,0.0223,12.83,2012,Post-2010
radial velocity,264.15,4.01,33.33,2002,2000-2010
radial velocity,963.0,2.54,43.03,2004,2000-2010
radial velocity,1.3283,18.37,43.03,2003,2000-2010
radial velocity,18.357,0.039,52.03,2013,Post-2010
radial velocity,25.648,0.027,52.03,2013,Post-2010
radial velocity,327.8,0.6,54.94,2010,Post-2010
radial velocity,2371.0,25.0,37.05,2008,2000-2010
radial velocity,36.96,2.49,93.2,2007,2000-2010
radial velocity,472.0,0.58,50.43,2010,Post-2010
radial velocity,5.8872,0.04,22.04,2011,Post-2010
radial velocity,226.93,0.1872,32.58,2008,2000-2010
radial velocity,342.85,0.6579,32.58,2008,2000-2010
radial velocity,890.76,1.79,48.95,2004,2000-2010
radial velocity,43.6,0.47,36.14,2008,2000-2010
radial velocity,3.024,0.249,33.41,2000,2000-2010
radial velocity,4.0845,0.07167,37.84,2008,2000-2010
radial velocity,1353.6,0.35061,37.84,2008,2000-2010
radial velocity,430.0,5.0,121.36,2002,2000-2010
radial velocity,2500.0,7.0,121.36,2008,2000-2010
radial velocity,700.0,1.16,87.41,2008,2000-2010
radial velocity,4.9437,0.115,40.73,2002,2000-2010
radial velocity,2582.7,1.71,47.26,2005,2000-2010
radial velocity,1279.0,4.9,31.03,2002,2000-2010
radial velocity,14.07,0.0413,34.07,2011,Post-2010
radial velocity,95.415,0.0565,34.07,2011,Post-2010
radial velocity,118.96,1.13,28.07,2000,2000-2010
radial velocity,303.0,5.25,92.51,2003,2000-2010
radial velocity,201.83,3.1548,25.7,2008,2000-2010
radial velocity,607.06,7.4634,25.7,2008,2000-2010
radial velocity,2.817822,0.38,35.8,2005,2000-2010
radial velocity,589.64,2.9,10.34,2006,2000-2010
radial velocity,358.0,0.64,32.62,2009,2000-2010
radial velocity,572.4,1.26,35.59,2003,2000-2010
radial velocity,152.6,0.17,35.59,2011,Post-2010
radial velocity,480.5,6.0,80.06,2012,Post-2010
radial velocity,1973.0,2.82,55.04,2005,2000-2010
radial velocity,6.276,1.9,58.82,2001,2000-2010
radial velocity,8.667,0.033,12.58,2006,2000-2010
radial velocity,31.56,0.038,12.58,2006,2000-2010
radial velocity,197.0,0.058,12.58,2006,2000-2010
radial velocity,851.8,6.1,55.25,2007,2000-2010
radial velocity,2231.0,2.0,28.76,2003,2000-2010
radial velocity,3383.0,3.15,51.36,2002,2000-2010
radial velocity,1260.0,3.06,53.05,2008,2000-2010
radial velocity,2.54858,1.87,36.52,2003,2000-2010
radial velocity,188.9,2.25,94.61,2002,2000-2010
radial velocity,379.1,2.25,94.61,2005,2000-2010
radial velocity,1800.0,1.15,96.99,2008,2000-2010
radial velocity,51.645,1.8,64.56,2003,2000-2010
radial velocity,2473.0,8.06,64.56,2003,2000-2010
radial velocity,346.6,0.396,64.56,2007,2000-2010
radial velocity,3.51,0.42,28.94,1999,Pre-2000
radial velocity,418.2,2.51,80.58,2007,2000-2010
radial velocity,3.971,0.197,59.7,2002,2000-2010
radial velocity,5.7361,1.26,41.27,2012,Post-2010
radial velocity,1966.1,1.34,48.64,2011,Post-2010
radial velocity,111.4357,1.26,29.04,2001,2000-2010
radial velocity,1001.7,6.86,32.56,2005,2000-2010
radial velocity,184.02,2.7,88.26,2007,2000-2010
radial velocity,441.47,1.26,27.46,2003,2000-2010
radial velocity,220.078,1.26,27.46,2003,2000-2010
radial velocity,705.0,1.3,112.23,2011,Post-2010
radial velocity,2.985625,0.4,43.53,2002,2000-2010
radial velocity,788.0,0.132,33.96,2009,2000-2010
radial velocity,58.43,0.01133,11.15,2011,Post-2010
radial velocity,2.1375,1.5,91.16,2006,2000-2010
radial velocity,1695.0,0.92,42.48,2009,2000-2010
radial velocity,1475.0,7.0,72.57,2009,2000-2010
radial velocity,2754.0,1.78,18.06,2009,2000-2010
radial velocity,3.416,0.22,74.46,2004,2000-2010
radial velocity,2157.0,1.78,30.88,2009,2000-2010
radial velocity,256.78,8.44,38.99,1999,Pre-2000
radial velocity,49.77,0.057,22.09,2009,2000-2010
radial velocity,325.81,3.86,32.32,2000,2000-2010
radial velocity,143.58,0.37,28.9,2005,2000-2010
radial velocity,13.186,0.0263,42.52,2011,Post-2010
radial velocity,46.025,0.0318,42.52,2011,Post-2010
radial velocity,507.0,1.2,149.03,2009,2000-2010
radial velocity,361.1,0.9,132.8,2011,Post-2010
radial velocity,498.9,0.68,84.03,2009,2000-2010
radial velocity,647.3,4.0,221.24,2011,Post-2010
radial velocity,8.1256,0.0284,26.21,2011,Post-2010
radial velocity,103.49,0.04,26.21,2011,Post-2010
radial velocity,9.494,0.026,21.3,2010,Post-2010
radial velocity,436.9,1.8,150.38,2011,Post-2010
radial velocity,4951.0,6.8,42.77,2012,Post-2010
radial velocity,439.3,0.502,60.46,2005,2000-2010
radial velocity,17.054,0.087,17.99,2004,2000-2010
radial velocity,4970.0,0.36,17.99,2010,Post-2010
radial velocity,868.0,1.4,130.89,2011,Post-2010
radial velocity,157.57,1.7,140.85,2011,Post-2010
radial velocity,383.7,1.16,52.8,2007,2000-2010
radial velocity,70.46,0.3,30.5,2005,2000-2010
radial velocity,20.8133,0.172,42.0,2005,2000-2010
radial velocity,4.113775,0.45,28.98,2006,2000-2010
radial velocity,127.58,5.9,164.2,2008,2000-2010
radial velocity,520.0,2.6,164.2,2008,2000-2010
radial velocity,122.1,0.05,9.24,2010,Post-2010
radial velocity,778.1,5.9,138.5,2011,Post-2010
radial velocity,6.495,0.96,121.07,2010,Post-2010
radial velocity,47.84,0.098,49.33,2009,2000-2010
radial velocity,5.8881,0.367,53.08,2013,Post-2010
radial velocity,55.806,0.186,20.82,2009,2000-2010
radial velocity,199.505,8.3,102.04,2003,2000-2010
radial velocity,1531.0,6.92,37.44,2002,2000-2010
radial velocity,2890.0,11.0,87.87,2011,Post-2010
radial velocity,3630.0,9.61,36.36,2012,Post-2010
radial velocity,48.056,0.21,51.26,2005,2000-2010
radial velocity,10.8985,0.261,38.56,2002,2000-2010
radial velocity,443.4,2.6,138.5,2011,Post-2010
radial velocity,395.8,1.29,68.54,2002,2000-2010
radial velocity,1624.0,0.99,68.54,2005,2000-2010
radial velocity,68.27,0.77,65.62,2010,Post-2010
radial velocity,7.8543,0.054,56.92,2013,Post-2010
radial velocity,30.93,0.076,56.92,2013,Post-2010
radial velocity,5.24,0.28,59.03,2005,2000-2010
radial velocity,835.477,11.09,97.66,2009,2000-2010
radial velocity,1143.0,6.8,28.88,2003,2000-2010
radial velocity,324.0,2.83,37.42,2013,Post-2010
radial velocity,263.3,0.27,15.71,2010,Post-2010
radial velocity,1657.0,0.71,15.71,2010,Post-2010
radial velocity,937.7,1.24,28.04,2003,2000-2010
radial velocity,1046.0,1.26,28.04,2011,Post-2010
radial velocity,3827.0,0.48,20.48,2014,Post-2010
radial velocity,83.888,11.68,40.57,1989,Pre-2000
radial velocity,493.7,1.1,20.43,2001,2000-2010
radial velocity,1114.0,0.95,35.0,2002,2000-2010
radial velocity,670.0,2.1,110.62,2011,Post-2010
radial velocity,2597.0,1.88,33.01,2004,2000-2010
radial velocity,25.827,0.178,38.02,2004,2000-2010
radial velocity,6.1335,2.13,88.57,2005,2000-2010
radial velocity,2082.0,4.5,97.66,2013,Post-2010
radial velocity,63.33,1.22,44.37,2003,2000-2010
radial velocity,344.95,3.71,133.16,2003,2000-2010
radial velocity,559.4,3.0,52.83,2007,2000-2010
radial velocity,4.1547,0.058,52.83,2009,2000-2010
radial velocity,3008.0,7.2,52.83,2009,2000-2010
radial velocity,9.6737,0.041,27.45,2009,2000-2010
radial velocity,1244.0,0.38,68.35,2009,2000-2010
radial velocity,948.12,0.224,38.05,2011,Post-2010
radial velocity,454.2,1.45,16.57,2002,2000-2010
radial velocity,923.8,3.24,16.57,2005,2000-2010
radial velocity,1840.0,1.6,67.61,2009,2000-2010
radial velocity,10.7085,1.04,29.76,1999,Pre-2000
radial velocity,883.0,2.2,121.36,2011,Post-2010
radial velocity,1951.0,18.15,57.21,2008,2000-2010
radial velocity,974.0,5.61,70.97,2007,2000-2010
radial velocity,1544.0,1.49,98.52,2011,Post-2010
radial velocity,3.27,0.0351,24.15,2011,Post-2010
radial velocity,1160.9,0.1507,24.15,2011,Post-2010
radial velocity,258.19,1.59,25.65,1999,Pre-2000
radial velocity,5000.0,0.82,25.65,2009,2000-2010
radial velocity,12.083,0.0292,26.91,2011,Post-2010
radial velocity,59.519,0.0382,26.91,2011,Post-2010
radial velocity,459.26,0.121,26.91,2011,Post-2010
radial velocity,464.3,2.0,106.38,2009,2000-2010
radial velocity,11.577,0.0166,14.56,2011,Post-2010
radial velocity,27.582,0.0358,14.56,2011,Post-2010
radial velocity,106.72,0.03,14.56,2011,Post-2010
radial velocity,330.0,0.223,38.45,2011,Post-2010
radial velocity,1125.7,9.76,121.36,2008,2000-2010
radial velocity,653.22,9.7,33.46,2002,2000-2010
radial velocity,1928.0,5.1,35.87,2005,2000-2010
radial velocity,1299.0,1.9,106.38,2011,Post-2010
radial velocity,386.3,1.62,34.57,2003,2000-2010
radial velocity,1057.0,3.12,59.35,2008,2000-2010
radial velocity,176.3,2.9,126.1,2010,Post-2010
radial velocity,103.95,5.76,55.19,2008,2000-2010
radial velocity,44.236,2.12,42.68,2009,2000-2010
radial velocity,1008.0,6.56,42.68,2009,2000-2010
radial velocity,528.4,1.21,12.87,2003,2000-2010
radial velocity,1027.0,0.85,53.05,2009,2000-2010
radial velocity,331.5,0.96,59.28,2009,2000-2010
radial velocity,2.8758911,1.26,78.86,2005,2000-2010
radial velocity,4.072,1.33,63.49,2005,2000-2010
radial velocity,2.391,15.5,76.51,2009,2000-2010
radial velocity,1096.2,0.168,29.55,2011,Post-2010
radial velocity,2097.0,3.0,85.18,2009,2000-2010
