method,orbital_period,mass,distance,year,era
radial velocity,689.0,1.5,182.82,2011,Post-2010
radial velocity,499.4,2.73,51.87,2008,2000-2010
radial velocity,18.596,0.0193,18.08,2011,Post-2010
radial velocity,3342.0,0.947,18.06,2006,2000-2010
radial velocity,163.9,5.02,65.79,2008,2000-2010
radial velocity,408.6,2.24,68.54,2004,2000-2010
radial velocity,3452.0,2.58,68.54,2014,Post-2010
radial velocity,194.3,0.85,43.4,2007,2000-2010
radial velocity,391.9,0.82,43.4,2007,2000-2010
radial velocity,131.05,9.71,35.37,2011,Post-2010
radial velocity,842.0,0.75,55.1,2009,2000-2010
radial velocity,4.6455,0.013,24.05,2010,Post-2010
radial velocity,359.5546,10.57,49.0,2007,2000-2010
radial velocity,104.84,0.12,33.48,2011,Post-2010
radial velocity,521.0,1.8,114.15,2011,Post-2010
radial velocity,12.62,1.13,68.59,2013,Post-2010
radial velocity,248.4,1.9,68.59,2013,Post-2010
radial velocity,1178.4,2.1,52.72,2006,2000-2010
radial velocity,352.3,0.73,52.72,2012,Post-2010
radial velocity,643.25,1.26,15.28,2000,2000-2010
radial velocity,4205.8,1.814,15.28,2004,2000-2010
radial velocity,9.6386,1.26,15.28,2004,2000-2010
radial velocity,310.55,1.26,15.28,2006,2000-2010
radial velocity,8.428198,14.4,31.26,2002,2000-2010
radial velocity,75.29,0.77,69.44,2010,Post-2010
radial velocity,1314.0,2.29,69.44,2010,Post-2010
radial velocity,282.4,0.48,51.81,2010,Post-2010
radial velocity,606.4,2.7,37.98,2009,2000-2010
radial velocity,1155.0,0.36,21.92,2005,2000-2010
radial velocity,5144.0,3.53,42.99,2012,Post-2010
radial velocity,420.77,1.7,50.0,2007,2000-2010
radial velocity,58.11289,8.02,37.88,1998,Pre-2000
radial velocity,1749.5,18.1,37.88,2000,2000-2010
radial velocity,6.403,0.23,43.12,2002,2000-2010
radial velocity,225.62,2.88,36.32,2000,2000-2010
radial velocity,2102.0,4.04,36.32,2003,2000-2010
radial velocity,1145.0,0.67,64.98,2007,2000-2010
radial velocity,538.0,1.83,55.25,2007,2000-2010
radial velocity,1523.0,2.6,44.05,2009,2000-2010
radial velocity,323.6,2.7,134.95,2008,2000-2010
radial velocity,1290.0,7.8,67.02,2009,2000-2010
radial velocity,297.3,0.61,127.55,2007,2000-2010
astrometry,1016.0,1.26,14.98,2010,Post-2010
radial velocity,406.6,1.49,59.03,1999,Pre-2000
radial velocity,110.9,0.15,59.03,2010,Post-2010
radial velocity,71.484,7.03,46.73,2001,2000-2010
radial velocity,14.476,0.08,63.69,2008,2000-2010
radial velocity,3.0925,0.95,27.05,2000,2000-2010
radial velocity,396.03,1.26,131.75,2010,Post-2010
radial velocity,479.0,1.6,114.55,2009,2000-2010
radial velocity,663.0,3.3,115.47,2009,2000-2010
radial velocity,9.3743,0.0238,26.15,2008,2000-2010
radial velocity,962.0,0.64,26.15,2008,2000-2010
radial velocity,2172.0,0.54,26.15,2008,2000-2010
radial velocity,956.0,0.37,55.93,2009,2000-2010
radial velocity,634.23,3.69,52.83,2004,2000-2010
radial velocity,2950.0,3.82,52.83,2008,2000-2010
radial velocity,6.838,0.94,47.37,2006,2000-2010
radial velocity,986.0,0.75,44.98,2006,2000-2010
radial velocity,3.097,0.52,47.92,1998,Pre-2000
radial velocity,3810.0,1.99,47.92,1999,Pre-2000
radial velocity,456.46,1.26,52.63,2004,2000-2010
radial velocity,14.275,0.0316,17.72,2011,Post-2010
radial velocity,2.21857578,1.26,19.25,2005,2000-2010
radial velocity,1136.1,5.93,62.11,2002,2000-2010
radial velocity,2891.0,1.502,15.89,2003,2000-2010
radial velocity,17.1,0.057,15.89,2005,2000-2010
radial velocity,1038.1,1.9,54.23,2007,2000-2010
radial velocity,4885.0,3.1,189.39,2009,2000-2010
radial velocity,24.348,0.72,19.89,1999,Pre-2000
radial velocity,74.72,0.05318,8.82,2011,Post-2010
radial velocity,525.8,0.07552,8.82,2011,Post-2010
radial velocity,351.5,2.5,67.39,2007,2000-2010
radial velocity,18.20163,3.7,37.35,1999,Pre-2000
radial velocity,1289.0,3.0,46.93,2002,2000-2010
radial velocity,3638.0,6.9,43.57,2012,Post-2010
radial velocity,1333.0,2.58,32.99,2007,2000-2010
radial velocity,1035.7,0.79,32.83,2011,Post-2010
radial velocity,613.8,1.85,68.35,2010,Post-2010
radial velocity,825.0,0.895,68.35,2010,Post-2010
radial velocity,255.87,17.4,46.34,2002,2000-2010
radial velocity,1383.4,2.44,46.34,2004,2000-2010
radial velocity,1931.0,4.05,47.3,2009,2000-2010
radial velocity,34.873,0.054,47.3,2011,Post-2010
radial velocity,2831.6,1.68,47.3,2012,Post-2010
radial velocity,1733.0,0.266,26.95,2011,Post-2010
radial velocity,279.8,1.37,90.33,2008,2000-2010
radial velocity,610.0,2.2,170.07,2009,2000-2010
radial velocity,161.97,1.26,55.31,2012,Post-2010
radial velocity,1155.7,1.26,55.31,2012,Post-2010
radial velocity,123.0,0.45,43.99,2004,2000-2010
radial velocity,875.5,9.9,352.11,2012,Post-2010
radial velocity,3.52474859,1.26,47.08,1999,Pre-2000
radial velocity,442.1,1.23,21.29,1998,Pre-2000
radial velocity,354.8,1.26,55.93,2007,2000-2010
radial velocity,2.245715,0.45,52.72,2005,2000-2010
radial velocity,373.3,2.3,121.8,2009,2000-2010
radial velocity,951.0,4.5,40.75,2001,2000-2010
radial velocity,7.2825,0.0087,21.52,2011,Post-2010
radial velocity,10.866,0.0097,21.52,2011,Post-2010
radial velocity,191.99,0.101,38.64,2011,Post-2010
radial velocity,2277.0,0.246,38.64,2011,Post-2010
radial velocity,3.93,0.017,43.53,2009,2000-2010
radial velocity,567.0,0.33,43.53,2009,2000-2010
radial velocity,1311.0,1.26,33.29,2002,2000-2010
radial velocity,1294.0,2.1,26.52,2002,2000-2010
radial velocity,118.45,0.65,37.89,2003,2000-2010
radial velocity,7.126816,1.39,19.72,1998,Pre-2000
radial velocity,4270.0,2.6,19.72,2005,2000-2010
radial velocity,1319.0,13.0,54.92,2010,Post-2010
radial velocity,225.7,0.21,29.94,2010,Post-2010
radial velocity,5501.0,10.39,29.2,2012,Post-2010
radial velocity,2093.3,1.26,55.25,2012,Post-2010
radial velocity,3.8335,0.06,81.1,2007,2000-2010
radial velocity,672.1,11.1,289.02,2012,Post-2010
radial velocity,2209.0,1.06,45.23,2012,Post-2010
radial velocity,3724.7,1.45,48.43,2011,Post-2010
radial velocity,456.1,3.09,52.88,2007,2000-2010
radial velocity,3999.0,1.9,50.45,2011,Post-2010
radial velocity,572.38,7.75,41.95,1999,Pre-2000
radial velocity,26.73,0.71,94.07,2006,2000-2010
radial velocity,141.6,1.08,108.46,2007,2000-2010
radial velocity,192.0,6.575,55.25,2013,Post-2010
radial velocity,501.75,6.9,55.25,2009,2000-2010
radial velocity,745.7,5.3,307.69,2011,Post-2010
radial velocity,2443.0,2.54,54.92,2009,2000-2010
radial velocity,8.7836,0.0265,9.42,2008,2000-2010
radial velocity,3.369,0.76,50.2,2004,2000-2010
radial velocity,345.72,1.42,44.8,2009,2000-2010
radial velocity,9017.8,1.26,44.8,2011,Post-2010
radial velocity,57.0,0.47,23.8,2010,Post-2010
radial velocity,16.2,1.25,223.21,2010,Post-2010
radial velocity,6.673855,3.88,52.88,2005,2000-2010
radial velocity,147.73,1.28,52.88,2006,2000-2010
radial velocity,952.0,0.57,52.88,2009,2000-2010
radial velocity,41.397,0.298,11.03,2010,Post-2010
radial velocity,8.1352,0.036,25.87,2011,Post-2010
radial velocity,32.03,0.41,25.87,2011,Post-2010
radial velocity,431.7,0.527,25.87,2011,Post-2010
radial velocity,124.6,9.18,149.25,2013,Post-2010
radial velocity,17337.5,9.0,23.98,2009,2000-2010
radial velocity,511.098,8.82,31.33,2002,2000-2010
radial velocity,111.7,2.1,14.9,2009,2000-2010
radial velocity,5.0505,1.068,44.46,2013,Post-2010
radial velocity,311.288,1.94,17.24,1999,Pre-2000
imaging,170000.0,1.26,39.94,2008,2000-2010
imaging,69000.0,1.26,39.94,2008,2000-2010
imaging,37000.0,1.26,39.94,2008,2000-2010
imaging,18000.0,1.26,39.94,2010,Post-2010
transit,1.217514,1.26,262.0,2012,Post-2010
transit,4.1137912,1.26,124.22,2012,Post-2010
transit,2.7033904,1.47,178.0,2013,Post-2010
transit,7.8457,1.26,222.0,2014,Post-2010
transit,2.47063,1.26,213.0,2006,2000-2010
transit,2.204737,1.26,320.0,2008,2000-2010
transit,4.8878162,1.26,38.0,2008,2000-2010
transit,3.21346,1.26,550.0,2009,2000-2010
transit,3.54846,1.26,55.25,2009,2000-2010
transit,3.234723,1.26,55.25,2009,2000-2010
transit,4.885525,1.26,55.25,2009,2000-2010
transit,3.52254,1.26,1330.0,2010,Post-2010
transit,19.24,1.26,650.0,2010,Post-2010
transit,38.91,1.26,650.0,2010,Post-2010
transit,1.592851,1.26,650.0,2010,Post-2010
transit,0.837495,1.26,173.0,2011,Post-2010
transit,45.29485,1.26,173.0,2011,Post-2010
transit,10.3039,1.26,613.0,2010,Post-2010
transit,13.0241,1.26,613.0,2010,Post-2010
transit,22.6845,1.26,613.0,2010,Post-2010
transit,31.9996,1.26,613.0,2010,Post-2010
transit,46.6888,1.26,613.0,2010,Post-2010
transit,118.3807,1.26,613.0,2010,Post-2010
transit,4.4379637,1.26,600.0,2011,Post-2010
transit,1.7635892,1.26,55.25,2011,Post-2010
transit,6.790123,1.26,980.0,2011,Post-2010
transit,4.942782,1.26,55.25,2011,Post-2010
transit,228.776,1.26,61.0,2011,Post-2010
transit,1.4857108,1.26,800.0,2011,Post-2010
transit,3.504725,1.26,55.25,2011,Post-2010
transit,7.64159,1.26,55.25,2011,Post-2010
transit,14.85888,1.26,55.25,2011,Post-2010
transit,9.2869944,1.26,2119.0,2011,Post-2010
transit timing variations,160.0,1.26,2119.0,2011,Post-2010
transit,3.6961219,1.26,290.0,2011,Post-2010
transit,10.854092,1.26,290.0,2011,Post-2010
transit,77.61184,1.26,290.0,2011,Post-2010
transit,6.098493,1.26,290.0,2011,Post-2010
transit,19.57706,1.26,290.0,2011,Post-2010
transit,2.785755,1.26,108.0,2011,Post-2010
transit,289.8623,1.26,190.0,2011,Post-2010
transit,7.1073,1.26,800.0,2011,Post-2010
transit,10.7421,1.26,800.0,2011,Post-2010
transit,8.1453,1.26,1200.0,2011,Post-2010
transit,12.3335,1.26,1200.0,2011,Post-2010
transit,6.2385,1.26,55.25,2011,Post-2010
transit,12.7204,1.26,55.25,2011,Post-2010
radial velocity,123.0,1.26,55.25,2014,Post-2010
transit,12.2829,1.26,55.25,2011,Post-2010
transit,17.2513,1.26,55.25,2011,Post-2010
transit,15.3348,1.26,55.25,2011,Post-2010
transit,31.3309,1.26,55.25,2011,Post-2010
transit,5.9123,1.26,55.25,2011,Post-2010
transit,8.9858,1.26,55.25,2011,Post-2010
transit,10.3376,1.26,1400.0,2011,Post-2010
transit,13.2907,1.26,1400.0,2011,Post-2010
transit,29.33434,1.26,1400.0,2012,Post-2010
transit,60.323105,1.26,1400.0,2012,Post-2010
transit,143.34394,1.26,1400.0,2012,Post-2010
transit,20.8613,1.26,2100.0,2011,Post-2010
transit,42.6318,1.26,2100.0,2011,Post-2010
transit,5.90124,1.26,303.0,2011,Post-2010
transit,8.7522,1.26,303.0,2011,Post-2010
transit,22.7802,1.26,303.0,2012,Post-2010
transit,2.896,1.26,303.0,2012,Post-2010
transit,0.74296,1.26,303.0,2012,Post-2010
transit,5.66793,1.26,55.25,2011,Post-2010
transit,13.17562,1.26,55.25,2011,Post-2010
transit,21.77596,1.26,55.25,2011,Post-2010
transit,31.7844,1.26,55.25,2011,Post-2010
transit,41.02902,1.26,55.25,2011,Post-2010
transit,288.822,1.26,1499.0,2011,Post-2010
transit,131.458,1.26,1645.0,2011,Post-2010
transit,13.83989,1.26,470.0,2012,Post-2010
transit,16.23855,1.26,470.0,2012,Post-2010
transit,13.367308,1.26,66.0,2013,Post-2010
transit,21.301886,1.26,66.0,2013,Post-2010
transit,39.792187,1.26,66.0,2013,Post-2010
transit,105.599,1.26,600.0,2012,Post-2010
transit,21.0874,1.26,1200.0,2011,Post-2010
transit,6.87349,1.26,2700.0,2010,Post-2010
transit,1.855558,1.26,770.0,2011,Post-2010
transit,1.2137672,1.26,38.7,2011,Post-2010
transit,0.45328509,1.26,38.7,2011,Post-2010
transit,1.865169,1.26,38.7,2011,Post-2010
transit,3.024095,1.26,1950.0,2011,Post-2010
transit,3.24674,1.26,2250.0,2011,Post-2010
transit,2.455239,1.26,333.0,2011,Post-2010
transit,33.60134,1.26,855.0,2012,Post-2010
transit timing variations,57.011,1.26,855.0,2012,Post-2010
transit,49.532,1.26,1500.0,2012,Post-2010
transit,303.137,1.26,1500.0,2012,Post-2010
transit,4.7779803,1.26,55.25,2012,Post-2010
transit,9.6739283,1.26,55.25,2012,Post-2010
transit,42.8961,1.26,55.25,2014,Post-2010
radial velocity,982.0,1.26,55.25,2014,Post-2010
transit,7.2037945,1.26,55.25,2012,Post-2010
transit,10.9129343,1.26,55.25,2012,Post-2010
transit,7.81254,1.26,55.25,2012,Post-2010
transit,9.37647,1.26,55.25,2012,Post-2010
transit,45.154,1.26,55.25,2012,Post-2010
transit,85.312,1.26,55.25,2012,Post-2010
transit,7.8773565,1.26,55.25,2012,Post-2010
transit,16.3850021,1.26,55.25,2012,Post-2010
transit,18.6489525,1.26,55.25,2012,Post-2010
transit,38.5583038,1.26,55.25,2012,Post-2010
transit,8.0109434,1.26,55.25,2012,Post-2010
transit,12.0717249,1.26,55.25,2012,Post-2010
transit,27.9481449,1.26,55.25,2012,Post-2010
transit,42.1516418,1.26,55.25,2012,Post-2010
transit,10.5016,1.26,55.25,2012,Post-2010
transit,21.40239,1.26,55.25,2012,Post-2010
transit,5.7293196,1.26,55.25,2012,Post-2010
transit,11.6092567,1.26,55.25,2012,Post-2010
transit,10.2184954,1.26,55.25,2012,Post-2010
transit,15.5741568,1.26,55.25,2012,Post-2010
transit,11.8681707,1.26,55.25,2012,Post-2010
transit,17.9801235,1.26,55.25,2012,Post-2010
transit,7.1316185,1.26,55.25,2012,Post-2010
transit,8.9193459,1.26,55.25,2012,Post-2010
transit,11.9016171,1.26,55.25,2012,Post-2010
transit,59.87756,1.26,55.25,2013,Post-2010
transit,5.714932,1.26,368.0,2013,Post-2010
transit,12.4417,1.26,368.0,2013,Post-2010
transit,18.16406,1.26,368.0,2013,Post-2010
transit,122.3874,1.26,368.0,2013,Post-2010
transit,267.291,1.26,368.0,2013,Post-2010
transit,9.4341505,1.26,200.0,2013,Post-2010
transit,138.317,1.26,1000.0,2012,Post-2010
transit,2.15491,1.26,55.25,2012,Post-2010
transit,5.859944,1.26,55.25,2012,Post-2010
transit,8.13123,1.26,55.25,2012,Post-2010
transit,17.815815,1.26,1107.0,2013,Post-2010
transit,15.7259,1.26,1107.0,2013,Post-2010
transit,5.398763,1.26,135.0,2012,Post-2010
transit,9.605085,1.26,135.0,2012,Post-2010
radial velocity,580.0,0.947,135.0,2012,Post-2010
transit,13.722341,1.26,55.25,2013,Post-2010
transit,242.4613,1.26,55.25,2013,Post-2010
orbital brightness modulation,0.240104,1.26,1180.0,2011,Post-2010
orbital brightness modulation,0.342887,1.26,1180.0,2011,Post-2010
transit,3.90512,1.26,800.0,2010,Post-2010
transit,7.340718,1.26,1330.0,2013,Post-2010
transit,8.884924,1.26,1140.0,2013,Post-2010
orbital brightness modulation,1.54492875,1.26,55.25,2013,Post-2010
transit,3.57878087,1.26,570.0,2013,Post-2010
transit,0.355,1.26,55.25,2013,Post-2010
transit,13.485,1.26,55.25,2012,Post-2010
transit,27.402,1.26,55.25,2012,Post-2010
transit,7.053,1.26,55.25,2012,Post-2010
transit,9.522,1.26,55.25,2012,Post-2010
transit,5.955,1.26,55.25,2012,Post-2010
transit,12.04,1.26,55.25,2012,Post-2010
transit,26.444,1.26,55.25,2012,Post-2010
transit,51.538,1.26,55.25,2012,Post-2010
transit,9.77,1.26,55.25,2012,Post-2010
transit,20.09,1.26,55.25,2012,Post-2010
transit,8.726,1.26,55.25,2012,Post-2010
transit,12.883,1.26,55.25,2012,Post-2010
transit,8.306,1.26,55.25,2012,Post-2010
transit,12.513,1.26,55.25,2012,Post-2010
transit,282.5255,1.26,55.25,2013,Post-2010
transit,114.73635,1.26,55.25,2013,Post-2010
transit,191.2318,1.26,55.25,2013,Post-2010
transit,10.95416,1.26,339.0,2013,Post-2010
transit timing variations,22.3395,1.26,339.0,2013,Post-2010
transit,3.743208,1.26,55.25,2013,Post-2010
transit,10.423648,1.26,55.25,2013,Post-2010
transit,22.342989,1.26,55.25,2013,Post-2010
transit,54.32031,1.26,55.25,2013,Post-2010
transit,7.008151,1.26,780.0,2013,Post-2010
transit,8.719375,1.26,780.0,2013,Post-2010
transit,59.73667,1.26,780.0,2013,Post-2010
transit,91.93913,1.26,780.0,2013,Post-2010
transit,124.9144,1.26,780.0,2013,Post-2010
transit,210.60697,1.26,780.0,2013,Post-2010
transit,331.60059,1.26,780.0,2013,Post-2010
transit,6.24658,1.26,1030.0,2013,Post-2010
transit,13.749,1.26,55.25,2013,Post-2010
transit,26.723,1.26,55.25,2013,Post-2010
transit,4.72674,1.26,55.25,2014,Post-2010
radial velocity,1460.0,1.26,55.25,2014,Post-2010
transit,2.50806,1.26,55.25,2014,Post-2010
radial velocity,820.3,1.26,55.25,2014,Post-2010
transit,11.5231,1.26,55.25,2014,Post-2010
transit,16.2385,1.26,55.25,2014,Post-2010
transit,2.58664,1.26,55.25,2014,Post-2010
radial velocity,789.0,1.26,55.25,2014,Post-2010
transit,1.54168,1.26,55.25,2014,Post-2010
transit,4.60358,1.26,55.25,2014,Post-2010
transit,6.88705,1.26,55.25,2014,Post-2010
transit,12.8159,1.26,55.25,2014,Post-2010
transit,35.3331,1.26,55.25,2014,Post-2010
transit,5.28696,1.26,55.25,2014,Post-2010
transit,7.07142,1.26,55.25,2014,Post-2010
transit,10.3117,1.26,55.25,2014,Post-2010
transit,16.1457,1.26,55.25,2013,Post-2010
transit,27.4536,1.26,55.25,2014,Post-2010
transit,15.9654,1.26,55.25,2014,Post-2010
transit,179.612,1.26,55.25,2014,Post-2010
transit,5.4122,1.26,55.25,2013,Post-2010
transit,6.16486,1.26,55.25,2014,Post-2010
transit,13.5708,1.26,55.25,2014,Post-2010
transit,23.9802,1.26,55.25,2014,Post-2010
transit,43.8445,1.26,55.25,2014,Post-2010
transit,6.48163,1.26,55.25,2014,Post-2010
transit,21.2227,1.26,55.25,2014,Post-2010
transit,4.754,1.26,55.25,2014,Post-2010
transit,8.92507,1.26,55.25,2014,Post-2010
transit,8.041,1.26,55.25,2013,Post-2010
transit,11.776,1.26,55.25,2013,Post-2010
transit,15.09,1.26,55.25,2013,Post-2010
transit,22.804,1.26,55.25,2013,Post-2010
transit,27.50868,1.26,55.25,2013,Post-2010
transit,16.092,1.26,55.25,2014,Post-2010
transit,25.5169,1.26,55.25,2014,Post-2010
transit,13.78164,1.26,55.25,2014,Post-2010
transit,23.08933,1.26,55.25,2014,Post-2010
transit,22.951,1.26,55.25,2013,Post-2010
transit,42.882,1.26,55.25,2013,Post-2010
transit,36.855,1.26,55.25,2013,Post-2010
transit,49.412,1.26,55.25,2013,Post-2010
transit,23.654,1.26,55.25,2013,Post-2010
transit,50.447,1.26,55.25,2013,Post-2010
transit,31.884,1.26,55.25,2013,Post-2010
transit,48.648,1.26,55.25,2013,Post-2010
transit,17.324,1.26,55.25,2013,Post-2010
transit,33.006,1.26,55.25,2013,Post-2010
transit,35.736,1.26,55.25,2013,Post-2010
transit,54.414,1.26,55.25,2013,Post-2010
transit,24.806,1.26,55.25,2013,Post-2010
transit,44.347,1.26,55.25,2013,Post-2010
transit,5.487,1.26,55.25,2013,Post-2010
transit,8.291,1.26,55.25,2013,Post-2010
transit,10.416,1.26,55.25,2013,Post-2010
transit,13.084,1.26,55.25,2013,Post-2010
transit,34.921,1.26,55.25,2013,Post-2010
transit,71.312,1.26,55.25,2013,Post-2010
transit,17.849,1.26,55.25,2013,Post-2010
transit,26.136,1.26,55.25,2013,Post-2010
transit,42.994,1.26,55.25,2013,Post-2010
transit,88.505,1.26,55.25,2013,Post-2010
transit,2.42629,1.26,55.25,2014,Post-2010
transit,4.62332,1.26,55.25,2014,Post-2010
transit,0.66931,1.26,55.25,2014,Post-2010
radial velocity,3000.0,1.26,55.25,2014,Post-2010
transit,2.46502,1.26,55.25,2014,Post-2010
transit,68.9584,1.26,55.25,2014,Post-2010
transit,17.833648,1.26,132.0,2013,Post-2010
transit,3.00516,1.26,55.25,2013,Post-2010
transit,1.72086123,1.26,1056.0,2014,Post-2010
transit,66.262,1.26,55.25,2014,Post-2010
imaging,40000.0,1.26,55.25,2011,Post-2010
transit,3.91405,1.26,2000.0,2007,2000-2010
microlensing,2780.0,1.26,55.25,2011,Post-2010
microlensing,1970.0,1.26,55.25,2010,Post-2010
radial velocity,677.8,19.8,55.25,2007,2000-2010
radial velocity,6.958,0.34,55.25,2014,Post-2010
radial velocity,5.118,0.4,55.25,2014,Post-2010
radial velocity,121.71,1.54,55.25,2014,Post-2010
microlensing,3600.0,1.26,55.25,2005,2000-2010
microlensing,3300.0,1.26,55.25,2006,2000-2010
microlensing,3500.0,1.26,55.25,2005,2000-2010
microlensing,1825.0,1.26,55.25,2008,2000-2010
microlensing,5100.0,1.26,55.25,2008,2000-2010
transit,2.4855335,1.26,55.25,2008,2000-2010
transit,3.101278,1.26,55.25,2004,2000-2010
transit,1.2119189,1.26,55.25,2002,2000-2010
transit,4.0161,1.26,55.25,2004,2000-2010
transit,1.4324752,1.26,600.0,2004,2000-2010
transit,1.689868,1.26,2500.0,2004,2000-2010
transit,3.9791,1.26,55.25,2007,2000-2010
transit,3.67724,1.26,55.25,2007,2000-2010
imaging,730000.0,1.26,55.25,2006,2000-2010
transit,3.1606296,1.26,1200.0,2013,Post-2010
radial velocity,4.4264,1.26,55.25,2012,Post-2010
radial velocity,2.1451,1.26,55.25,2012,Post-2010
pulsar timing,25.262,1.26,55.25,1992,Pre-2000
pulsar timing,66.5419,1.26,55.25,1992,Pre-2000
pulsar timing,98.2114,1.26,55.25,1994,Pre-2000
pulsar timing,36525.0,1.26,55.25,2003,2000-2010
pulsar timing,0.09070629,1.26,1200.0,2011,Post-2010
transit,1.420033,1.26,55.25,2010,Post-2010
transit,1.3371182,1.26,55.25,2011,Post-2010
transit,4.2,1.26,8500.0,2006,2000-2010
transit,1.796,1.26,8500.0,2006,2000-2010
transit,3.030065,1.26,152.3,2004,2000-2010
transit,1.30618581,1.26,228.0,2007,2000-2010
transit,3.553945,1.26,492.0,2007,2000-2010
transit,1.4822446,1.26,360.0,2011,Post-2010
pulsation timing variations,1170.0,1.26,55.25,2007,2000-2010
transit,2.5199449,1.26,408.0,2007,2000-2010
transit,2.152226,1.26,147.0,2007,2000-2010
transit,1.846835,1.26,220.0,2007,2000-2010
transit,1.33823187,1.26,300.0,2007,2000-2010
transit,1.62843142,1.26,300.0,2008,2000-2010
transit,3.361006,1.26,55.25,2009,2000-2010
transit,4.954658,1.26,140.0,2008,2000-2010
transit,8.158715,1.26,87.0,2010,Post-2010
transit,3.0927616,1.26,90.0,2008,2000-2010
transit,3.7224747,1.26,121.7,2008,2000-2010
transit,1.091423,1.26,55.25,2008,2000-2010
transit,4.353011,1.26,155.0,2009,2000-2010
transit,2.243752,1.26,160.0,2008,2000-2010
transit,3.7520656,1.26,55.25,2009,2000-2010
transit,3.1186009,1.26,55.25,2009,2000-2010
transit,3.7354417,1.26,400.0,2009,2000-2010
transit,0.94145299,1.26,105.49,2009,2000-2010
transit,0.78884,1.26,250.0,2009,2000-2010
transit,4.322482,1.26,242.0,2010,Post-2010
transit,3.5327313,1.26,300.0,2010,Post-2010
transit,2.9444256,1.26,55.25,2010,Post-2010
transit,2.34121242,1.26,55.25,2010,Post-2010
transit,3.764825,1.26,55.25,2010,Post-2010
transit,2.7566004,1.26,250.0,2010,Post-2010
transit,3.408821,1.26,55.25,2010,Post-2010
transit,3.922727,1.26,70.0,2010,Post-2010
transit,3.4059096,1.26,360.0,2010,Post-2010
transit,2.718659,1.26,55.25,2010,Post-2010
transit,1.2198669,1.26,116.14,2010,Post-2010
transit,4.3176782,1.26,120.0,2010,Post-2010
transit,3.161575,1.26,55.25,2011,Post-2010
transit,1.5373653,1.26,450.0,2011,Post-2010
transit,3.577469,1.26,343.0,2010,Post-2010
transit,6.871815,1.26,110.0,2010,Post-2010
transit,4.055259,1.26,230.0,2011,Post-2010
transit,3.052401,1.26,180.0,2010,Post-2010
transit,4.9816872,1.26,160.0,2012,Post-2010
transit,0.813475,1.26,80.0,2011,Post-2010
transit,2.4238039,1.26,55.25,2011,Post-2010
transit,3.1260876,1.26,55.25,2011,Post-2010
transit,1.43037,1.26,55.25,2011,Post-2010
transit,4.1591399,1.26,200.0,2012,Post-2010
transit,2.143634,1.26,55.25,2011,Post-2010
transit,2.7817387,1.26,170.0,2012,Post-2010
transit,1.9550959,1.26,230.0,2011,Post-2010
transit,1.7497798,1.26,140.0,2012,Post-2010
transit,3.6936411,1.26,200.0,2012,Post-2010
transit,4.465633,1.26,330.0,2012,Post-2010
transit,4.617101,1.26,255.0,2012,Post-2010
transit,2.838971,1.26,455.0,2012,Post-2010
transit,5.01718,1.26,300.0,2012,Post-2010
transit,7.919585,1.26,125.0,2012,Post-2010
transit,4.3050011,1.26,400.0,2012,Post-2010
transit,3.8559,1.26,480.0,2012,Post-2010
transit,4.411953,1.26,160.0,2012,Post-2010
transit,4.37809,1.26,330.0,2012,Post-2010
transit,1.5732918,1.26,350.0,2012,Post-2010
transit,2.3114243,1.26,310.0,2013,Post-2010
transit,4.086052,1.26,380.0,2012,Post-2010
transit,4.61442,1.26,225.0,2012,Post-2010
transit,2.9036747,1.26,345.0,2012,Post-2010
transit,2.2167421,1.26,340.0,2012,Post-2010
transit,2.484193,1.26,260.0,2013,Post-2010
transit,1.3600309,1.26,93.0,2012,Post-2010
transit,2.17517632,1.26,550.0,2012,Post-2010
transit,3.6623866,1.26,240.0,2012,Post-2010
transit,3.0678504,1.26,60.0,2012,Post-2010
transit,0.925542,1.26,470.0,2014,Post-2010
transit,3.352057,1.26,3200.0,2012,Post-2010
transit,3.94150685,1.26,172.0,2006,2000-2010
transit,2.615864,1.26,148.0,2007,2000-2010
transit,3.1915239,1.26,174.0,2007,2000-2010
transit,4.1250828,1.26,293.0,2008,2000-2010
transit,4.187757,1.26,260.0,2008,2000-2010
